key,source,relationship,name,wiki_link,notes
malcolmturnbull,https://en.wikipedia.org/wiki/Malcolm_Turnbull,P,Coral Lansbury,/wiki/Coral_Lansbury,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,S,Gertrude Sizakele Khumalo,/wiki/Gertrude_Sizakele_Khumalo,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,S,None,#cite_note-1,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,S,Nkosazana Dlamini-Zuma,/wiki/Nkosazana_Dlamini-Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,S,None,#cite_note-2,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,S,None,#cite_note-bnonews-3,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,C,None,#cite_note-Support-4,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,C,Gugulethu Zuma-Ncube,/wiki/Gugulethu_Zuma-Ncube,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,C,Thuthukile Zuma,/wiki/Thuthukile_Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,C,Duduzane Zuma,/wiki/Duduzane_Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Duduzane Zuma,/wiki/Duduzane_Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Gertrude Sizakele Khumalo,/wiki/Gertrude_Sizakele_Khumalo,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Gugulethu Zuma-Ncube,/wiki/Gugulethu_Zuma-Ncube,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Nompumelelo Ntuli Zuma,/wiki/Nompumelelo_Ntuli_Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Thuthukile Zuma,/wiki/Thuthukile_Zuma,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Gugulethu Zuma-Ncube,/wiki/Gugulethu_Zuma-Ncube,
jacobzuma,https://en.wikipedia.org/wiki/Jacob_Zuma,F,Nkosazana Dlamini-Zuma,/wiki/Nkosazana_Dlamini-Zuma,
danilomedina,https://en.wikipedia.org/wiki/Danilo_Medina,S,Cándida Montilla de Medina,/wiki/C%C3%A1ndida_Montilla_de_Medina,
marcelorebelodesousa,https://en.wikipedia.org/wiki/Marcelo_Rebelo_de_Sousa,S,Legal separation,/wiki/Legal_separation,
marcelorebelodesousa,https://en.wikipedia.org/wiki/Marcelo_Rebelo_de_Sousa,C,Unknown,N/A,2
marcelorebelodesousa,https://en.wikipedia.org/wiki/Marcelo_Rebelo_de_Sousa,R,Baltasar Rebelo de Sousa,/wiki/Baltasar_Rebelo_de_Sousa,
sauliniinisto,https://en.wikipedia.org/wiki/Sauli_Niinist%C3%B6,S,Jenni Haukio,/wiki/Jenni_Haukio,
sauliniinisto,https://en.wikipedia.org/wiki/Sauli_Niinist%C3%B6,C,Unknown,N/A,3
sauliniinisto,https://en.wikipedia.org/wiki/Sauli_Niinist%C3%B6,R,Ville Niinistö,/wiki/Ville_Niinist%C3%B6,
